관리코드,상품명,기준상품명,마켓카테고리,식품안전유형힌트,등급,규격,산지,포장,보관,norm_key
,제주 비트 / 2kg / 혼합과,제주 비트,채소,미분류,,2kg,제주,,,제주비트
,제주 비트 / 3kg / 혼합과,제주 비트,채소,미분류,,3kg,제주,,,제주비트
,제주 비트 / 5kg / 혼합과,제주 비트,채소,미분류,,5kg,제주,,,제주비트
,제주 감황 골드키위 / 1kg / 중과 / 60-80g,제주 감황 골드키위,과일,과일류,중,1kg|80g,제주,,,제주감황골드키위
,제주 감황 골드키위 / 1kg / 대과 / 80-130g,제주 감황 골드키위,과일,과일류,,1kg|130g,제주,,,제주감황골드키위
,제주 감황 골드키위 / 1kg / 특과 / 130-180g,제주 감황 골드키위,과일,과일류,특,1kg|180g,제주,,,제주감황골드키위
,제주 감황 골드키위 / 2kg / 중과 / 60-80g,제주 감황 골드키위,과일,과일류,중,2kg|80g,제주,,,제주감황골드키위
,제주 감황 골드키위 / 2kg / 대과 / 80-130g,제주 감황 골드키위,과일,과일류,,2kg|130g,제주,,,제주감황골드키위
,제주 감황 골드키위 / 2kg / 특과 / 130-180g,제주 감황 골드키위,과일,과일류,특,2kg|180g,제주,,,제주감황골드키위
,제주 감황 골드키위 / 3kg / 중과 / 60-80g,제주 감황 골드키위,과일,과일류,중,3kg|80g,제주,,,제주감황골드키위
,제주 감황 골드키위 / 3kg / 대과 / 80-130g,제주 감황 골드키위,과일,과일류,,3kg|130g,제주,,,제주감황골드키위
,제주 감황 골드키위 / 3kg / 특과 / 130-180g,제주 감황 골드키위,과일,과일류,특,3kg|180g,제주,,,제주감황골드키위
,제주 감황 골드키위 / 4kg / 중과 / 60-80g,제주 감황 골드키위,과일,과일류,중,4kg|80g,제주,,,제주감황골드키위
,제주 감황 골드키위 / 4kg / 대과 / 80-130g,제주 감황 골드키위,과일,과일류,,4kg|130g,제주,,,제주감황골드키위
,제주 감황 골드키위 / 4kg / 특과 / 130-180g,제주 감황 골드키위,과일,과일류,특,4kg|180g,제주,,,제주감황골드키위
,제주 감황 골드키위 / 5kg / 중과 / 60-80g,제주 감황 골드키위,과일,과일류,중,5kg|80g,제주,,,제주감황골드키위
,제주 감황 골드키위 / 5kg / 대과 / 80-130g,제주 감황 골드키위,과일,과일류,,5kg|130g,제주,,,제주감황골드키위
,제주 감황 골드키위 / 5kg / 특과 / 130-180g,제주 감황 골드키위,과일,과일류,특,5kg|180g,제주,,,제주감황골드키위
,남해 보물초 시금치 / 500g,남해 보물초 시금치,채소,채소류,,500g,,,,남해보물초시금치
,남해 보물초 시금치 / 1kg,남해 보물초 시금치,채소,채소류,,1kg,,,,남해보물초시금치
,남해 보물초 시금치 / 1.5kg,남해 보물초 시금치,채소,채소류,,1.5kg,,,,남해보물초시금치
,남해 보물초 시금치 / 2kg,남해 보물초 시금치,채소,채소류,,2kg,,,,남해보물초시금치
,남해 보물초 시금치 / 3kg,남해 보물초 시금치,채소,채소류,,3kg,,,,남해보물초시금치
,남해 보물초 시금치 / 4kg,남해 보물초 시금치,채소,채소류,,4kg,,,,남해보물초시금치
,국내산 밤 / 1kg,국내산 밤,미분류,미분류,,1kg,국내산,,,국내산밤
,국내산 밤 / 2kg,국내산 밤,미분류,미분류,,2kg,국내산,,,국내산밤
,국내산 밤 / 4kg,국내산 밤,미분류,미분류,,4kg,국내산,,,국내산밤
,세척사과 / 4.5kg / 한입 / 32과 내외,세척사과,과일,과일류,,4.5kg|32과,,,,세척사과
,세척사과 / 4.5kg / 소과 / 28과 내외,세척사과,과일,과일류,,4.5kg|28과,,,,세척사과
,세척사과 / 4.5kg / 중소 / 25과 내외,세척사과,과일,과일류,중,4.5kg|25과,,,,세척사과
,선물세트 반건시 / 20입 / 소과 / 50g,선물세트 반건시,견과/건과,견과류/건과류,,20입|50g,,,,선물세트반건시
,선물세트 반건시 / 20입 / 중소 / 60g,선물세트 반건시,견과/건과,견과류/건과류,중,20입|60g,,,,선물세트반건시
,선물세트 반건시 / 20입 / 중과 / 70g,선물세트 반건시,견과/건과,견과류/건과류,중,20입|70g,,,,선물세트반건시
,선물세트 반건시 / 20입 / 대과 / 80g,선물세트 반건시,견과/건과,견과류/건과류,,20입|80g,,,,선물세트반건시
,선물세트 반건시 / 20입 / 특과 / 100g,선물세트 반건시,견과/건과,견과류/건과류,특,20입|100g,,,,선물세트반건시
,선물세트 반건시 / 1+1 20입 / 소과 / 50g,선물세트 반건시,견과/건과,견과류/건과류,,20입|50g,,,,선물세트반건시
,선물세트 반건시 / 1+1 20입 / 중소 / 60g,선물세트 반건시,견과/건과,견과류/건과류,중,20입|60g,,,,선물세트반건시
,선물세트 반건시 / 1+1 20입 / 중과 / 70g,선물세트 반건시,견과/건과,견과류/건과류,중,20입|70g,,,,선물세트반건시
,선물세트 반건시 / 1+1 20입 / 대과 / 80g,선물세트 반건시,견과/건과,견과류/건과류,,20입|80g,,,,선물세트반건시
,선물세트 반건시 / 1+1 20입 / 특과 / 100g,선물세트 반건시,견과/건과,견과류/건과류,특,20입|100g,,,,선물세트반건시
,선물세트 반건시 / 24입 / 중소 / 60g,선물세트 반건시,견과/건과,견과류/건과류,중,24입|60g,,,,선물세트반건시
,선물세트 반건시 / 24입 / 중과 / 70g,선물세트 반건시,견과/건과,견과류/건과류,중,24입|70g,,,,선물세트반건시
,선물세트 반건시 / 24입 / 대과 / 80g,선물세트 반건시,견과/건과,견과류/건과류,,24입|80g,,,,선물세트반건시
,선물세트 반건시 / 1+1 24입 / 중소 / 60g,선물세트 반건시,견과/건과,견과류/건과류,중,24입|60g,,,,선물세트반건시
,선물세트 반건시 / 1+1 24입 / 중과 / 70g,선물세트 반건시,견과/건과,견과류/건과류,중,24입|70g,,,,선물세트반건시
,선물세트 반건시 / 1+1 24입 / 대과 / 80g,선물세트 반건시,견과/건과,견과류/건과류,,24입|80g,,,,선물세트반건시
,A급 남해 보물초 시금치 / 500g,A급 남해 보물초 시금치,채소,채소류,A,500g,,,,a급남해보물초시금치
,A급 남해 보물초 시금치 / 1kg,A급 남해 보물초 시금치,채소,채소류,A,1kg,,,,a급남해보물초시금치
,A급 남해 보물초 시금치 / 1.5kg,A급 남해 보물초 시금치,채소,채소류,A,1.5kg,,,,a급남해보물초시금치
,A급 남해 보물초 시금치 / 2kg,A급 남해 보물초 시금치,채소,채소류,A,2kg,,,,a급남해보물초시금치
,A급 남해 보물초 시금치 / 3kg,A급 남해 보물초 시금치,채소,채소류,A,3kg,,,,a급남해보물초시금치
,A급 남해 보물초 시금치 / 4kg,A급 남해 보물초 시금치,채소,채소류,A,4kg,,,,a급남해보물초시금치
,가정용 감말랭이 / 300g,가정용 감말랭이,미분류,미분류,가정용,300g,,,,가정용감말랭이
,가정용 감말랭이 / 500g / 1팩,가정용 감말랭이,미분류,미분류,가정용,500g|1팩,,팩,,가정용감말랭이
,가정용 감말랭이 / 500g / 2팩,가정용 감말랭이,미분류,미분류,가정용,500g|2팩,,팩,,가정용감말랭이
,가정용 감말랭이 / 500g / 3팩,가정용 감말랭이,미분류,미분류,가정용,500g|3팩,,팩,,가정용감말랭이
,가정용 감말랭이 / 500g / 4팩,가정용 감말랭이,미분류,미분류,가정용,500g|4팩,,팩,,가정용감말랭이
,정품 감말랭이 / 300g,정품 감말랭이,미분류,미분류,,300g,,,,정품감말랭이
,정품 감말랭이 / 500g / 1팩,정품 감말랭이,미분류,미분류,,500g|1팩,,팩,,정품감말랭이
,정품 감말랭이 / 500g / 2팩,정품 감말랭이,미분류,미분류,,500g|2팩,,팩,,정품감말랭이
,정품 감말랭이 / 500g / 3팩,정품 감말랭이,미분류,미분류,,500g|3팩,,팩,,정품감말랭이
,정품 감말랭이 / 500g / 4팩,정품 감말랭이,미분류,미분류,,500g|4팩,,팩,,정품감말랭이
,정품 아이스홍시 / 1kg / 50-80g 내외,정품 아이스홍시,미분류,미분류,,1kg|80g,,,,정품아이스홍시
,정품 아이스홍시 / 2kg / 50-80g 내외,정품 아이스홍시,미분류,미분류,,2kg|80g,,,,정품아이스홍시
,정품 아이스홍시 / 3kg / 50-80g 내외,정품 아이스홍시,미분류,미분류,,3kg|80g,,,,정품아이스홍시
,정품 아이스홍시 / 4kg / 50-80g 내외,정품 아이스홍시,미분류,미분류,,4kg|80g,,,,정품아이스홍시
,정품 아이스홍시 / 5kg / 50-80g 내외,정품 아이스홍시,미분류,미분류,,5kg|80g,,,,정품아이스홍시
,일반 반건시 / 10입 / 1팩 / 40g,일반 반건시,견과/건과,견과류/건과류,,10입|1팩|40g,,팩,,일반반건시
,일반 반건시 / 10입 / 2팩 / 40g,일반 반건시,견과/건과,견과류/건과류,,10입|2팩|40g,,팩,,일반반건시
,일반 반건시 / 10입 / 3팩 / 40g,일반 반건시,견과/건과,견과류/건과류,,10입|3팩|40g,,팩,,일반반건시
,일반 반건시 / 10입 / 4팩 / 40g,일반 반건시,견과/건과,견과류/건과류,,10입|4팩|40g,,팩,,일반반건시
,일반 반건시 / 10입 / 1팩 / 50g,일반 반건시,견과/건과,견과류/건과류,,10입|1팩|50g,,팩,,일반반건시
,일반 반건시 / 10입 / 2팩 / 50g,일반 반건시,견과/건과,견과류/건과류,,10입|2팩|50g,,팩,,일반반건시
,일반 반건시 / 10입 / 3팩 / 50g,일반 반건시,견과/건과,견과류/건과류,,10입|3팩|50g,,팩,,일반반건시
,일반 반건시 / 10입 / 4팩 / 50g,일반 반건시,견과/건과,견과류/건과류,,10입|4팩|50g,,팩,,일반반건시
,일반 반건시 / 10입 / 2팩 / 60g,일반 반건시,견과/건과,견과류/건과류,,10입|2팩|60g,,팩,,일반반건시
,일반 반건시 / 8입 / 1팩 / 60g,일반 반건시,견과/건과,견과류/건과류,,8입|1팩|60g,,팩,,일반반건시
,일반 반건시 / 8입 / 2팩 / 60g,일반 반건시,견과/건과,견과류/건과류,,8입|2팩|60g,,팩,,일반반건시
,일반 반건시 / 8입 / 1팩 / 70g,일반 반건시,견과/건과,견과류/건과류,,8입|1팩|70g,,팩,,일반반건시
,일반 반건시 / 8입 / 2팩 / 70g,일반 반건시,견과/건과,견과류/건과류,,8입|2팩|70g,,팩,,일반반건시
,일반 반건시 / 6입 / 1팩 / 60g,일반 반건시,견과/건과,견과류/건과류,,6입|1팩|60g,,팩,,일반반건시
,일반 반건시 / 6입 / 2팩 / 60g,일반 반건시,견과/건과,견과류/건과류,,6입|2팩|60g,,팩,,일반반건시
,일반 반건시 / 6입 / 3팩 / 60g,일반 반건시,견과/건과,견과류/건과류,,6입|3팩|60g,,팩,,일반반건시
,일반 반건시 / 6입 / 4팩 / 60g,일반 반건시,견과/건과,견과류/건과류,,6입|4팩|60g,,팩,,일반반건시
,일반 반건시 / 6입 / 1팩 / 70g,일반 반건시,견과/건과,견과류/건과류,,6입|1팩|70g,,팩,,일반반건시
,일반 반건시 / 6입 / 2팩 / 70g,일반 반건시,견과/건과,견과류/건과류,,6입|2팩|70g,,팩,,일반반건시
,벌크 반건시 / 500g / 소과 / 45g 내외,벌크 반건시,견과/건과,견과류/건과류,,500g|45g,,벌크,,벌크반건시
,벌크 반건시 / 1kg / 소과 / 45g 내외,벌크 반건시,견과/건과,견과류/건과류,,1kg|45g,,벌크,,벌크반건시
,벌크 반건시 / 500g / 중소 / 55g 내외,벌크 반건시,견과/건과,견과류/건과류,중,500g|55g,,벌크,,벌크반건시
,벌크 반건시 / 1kg / 중소 / 55g 내외,벌크 반건시,견과/건과,견과류/건과류,중,1kg|55g,,벌크,,벌크반건시
,해남 호박고구마 / (비세척) 10kg / 대 / 개당 300g 이상,해남 호박고구마,채소,채소류,상,10kg|300g,해남,,,해남호박고구마
,해남 호박고구마 / (비세척) 10kg / 특상 / 개당 100-300g,해남 호박고구마,채소,채소류,특상,10kg|300g,해남,,,해남호박고구마
,해남 호박고구마 / (비세척) 10kg / 중 / 개당 50-100g,해남 호박고구마,채소,채소류,중,10kg|100g,해남,,,해남호박고구마
,해남 호박고구마 / (비세척) 10kg / 한입 / 개당 20-50g,해남 호박고구마,채소,채소류,,10kg|50g,해남,,,해남호박고구마
,해남 호박고구마 / (비세척) 5kg / 대 / 개당 300g 이상,해남 호박고구마,채소,채소류,상,5kg|300g,해남,,,해남호박고구마
,해남 호박고구마 / (비세척) 5kg / 특상 / 개당 100-300g,해남 호박고구마,채소,채소류,특상,5kg|300g,해남,,,해남호박고구마
,해남 호박고구마 / (비세척) 5kg / 중 / 개당 50-100g,해남 호박고구마,채소,채소류,중,5kg|100g,해남,,,해남호박고구마
,해남 호박고구마 / (비세척) 5kg / 한입 / 개당 20-50g,해남 호박고구마,채소,채소류,,5kg|50g,해남,,,해남호박고구마
,해남 호박고구마 / (비세척) 3kg / 대 / 개당 300g 이상,해남 호박고구마,채소,채소류,상,3kg|300g,해남,,,해남호박고구마
,해남 호박고구마 / (비세척) 3kg / 특상 / 개당 100-300g,해남 호박고구마,채소,채소류,특상,3kg|300g,해남,,,해남호박고구마
,해남 호박고구마 / (비세척) 3kg / 중 / 개당 50-100g,해남 호박고구마,채소,채소류,중,3kg|100g,해남,,,해남호박고구마
,해남 호박고구마 / (비세척) 3kg / 한입 / 개당 20-50g,해남 호박고구마,채소,채소류,,3kg|50g,해남,,,해남호박고구마
,3종 과일세트 - 301 / 골드망고(3) 샤인머스켓(2) 사과(3),3종 과일세트 - 301,과일,과일류,,,,망,,3종과일세트301
,3종 과일세트 - 302 / 골드망고(3) 자몽(3) 사과(3),3종 과일세트 - 302,과일,과일류,,,,망,,3종과일세트302
,3종 과일세트 - 303 / 애플망고(3) 샤인머스켓(2) 사과(3),3종 과일세트 - 303,과일,과일류,,,,망,,3종과일세트303
,3종 과일세트 - 304 / 애플망고(3) 자몽(3) 사과(3),3종 과일세트 - 304,과일,과일류,,,,망,,3종과일세트304
,4종 과일세트 - 401 / 사과(2) 샤인머스켓(2) 골드망고(2) 애플망고(2),4종 과일세트 - 401,과일,과일류,,,,망,,4종과일세트401
,4종 과일세트 - 404 / 사과(2) 샤인머스켓(2) 애플망고(2) 자몽(2),4종 과일세트 - 404,과일,과일류,,,,망,,4종과일세트404
,구좌당근 / 2kg / 왕 / 350-500g,구좌당근,채소,채소류,,2kg|500g,,,,구좌당근
,구좌당근 / 2kg / 특 / 300g 내외,구좌당근,채소,채소류,특,2kg|300g,,,,구좌당근
,구좌당근 / 2kg / 상 / 200g 내외,구좌당근,채소,채소류,상,2kg|200g,,,,구좌당근
,구좌당근 / 2kg / 중 / 100g 내외,구좌당근,채소,채소류,중,2kg|100g,,,,구좌당근
,구좌당근 / 3kg / 왕 / 350-500g,구좌당근,채소,채소류,,3kg|500g,,,,구좌당근
,구좌당근 / 3kg / 특 / 300g 내외,구좌당근,채소,채소류,특,3kg|300g,,,,구좌당근
,구좌당근 / 3kg / 상 / 200g 내외,구좌당근,채소,채소류,상,3kg|200g,,,,구좌당근
,구좌당근 / 3kg / 중 / 100g 내외,구좌당근,채소,채소류,중,3kg|100g,,,,구좌당근
,구좌당근 / 5kg / 왕 / 350-500g,구좌당근,채소,채소류,,5kg|500g,,,,구좌당근
,구좌당근 / 5kg / 특 / 300g 내외,구좌당근,채소,채소류,특,5kg|300g,,,,구좌당근
,구좌당근 / 5kg / 상 / 200g 내외,구좌당근,채소,채소류,상,5kg|200g,,,,구좌당근
,구좌당근 / 5kg / 중 / 100g 내외,구좌당근,채소,채소류,중,5kg|100g,,,,구좌당근
,구좌당근 / 10kg / 왕 / 350-500g,구좌당근,채소,채소류,,10kg|500g,,,,구좌당근
,구좌당근 / 10kg / 특 / 300g 내외,구좌당근,채소,채소류,특,10kg|300g,,,,구좌당근
,구좌당근 / 10kg / 상 / 200g 내외,구좌당근,채소,채소류,상,10kg|200g,,,,구좌당근
,구좌당근 / 10kg / 중 / 100g 내외,구좌당근,채소,채소류,중,10kg|100g,,,,구좌당근
,구좌당근 / 5kg (박스포함) / 왕 / 350-500g,구좌당근,채소,채소류,,5kg|500g,,박스,,구좌당근
,구좌당근 / 5kg (박스포함) / 특 / 300g 내외,구좌당근,채소,채소류,특,5kg|300g,,박스,,구좌당근
,구좌당근 / 5kg (박스포함) / 상 / 200g 내외,구좌당근,채소,채소류,상,5kg|200g,,박스,,구좌당근
,구좌당근 / 5kg (박스포함) / 중 / 100g 내외,구좌당근,채소,채소류,중,5kg|100g,,박스,,구좌당근
,구좌당근 / 10kg (박스포함) / 왕 / 350-500g,구좌당근,채소,채소류,,10kg|500g,,박스,,구좌당근
,구좌당근 / 10kg (박스포함) / 특 / 300g 내외,구좌당근,채소,채소류,특,10kg|300g,,박스,,구좌당근
,구좌당근 / 10kg (박스포함) / 상 / 200g 내외,구좌당근,채소,채소류,상,10kg|200g,,박스,,구좌당근
,구좌당근 / 10kg (박스포함) / 중 / 100g 내외,구좌당근,채소,채소류,중,10kg|100g,,박스,,구좌당근
,국내산 밤 / 3kg,국내산 밤,미분류,미분류,,3kg,국내산,,,국내산밤
,통배추 / 1통 / 2kg~3kg,통배추,과일,과일류,,2kg|3kg,,,,통배추
,통배추 / 2통 / 4kg~6kg,통배추,과일,과일류,,4kg|6kg,,,,통배추
,통배추 / 3통 / 6kg~9kg,통배추,과일,과일류,,6kg|9kg,,,,통배추
,통배추 / 4통 / 8kg~12kg,통배추,과일,과일류,,8kg|12kg,,,,통배추
,[단품] 국내산 대패삼겹살 300g / 1팩,[단품] 국내산 대패삼겹살 300g,축산/계란,미분류,,300g|1팩,국내산,팩,,단품국내산대패삼겹살300g
,[세트] 국내산 대패삼겹살 300g / 2팩,[세트] 국내산 대패삼겹살 300g,축산/계란,미분류,,300g|2팩,국내산,팩,,세트국내산대패삼겹살300g
,[세트] 국내산 대패삼겹살 300g / 3팩,[세트] 국내산 대패삼겹살 300g,축산/계란,미분류,,300g|3팩,국내산,팩,,세트국내산대패삼겹살300g
,[세트] 국내산 대패삼겹살 300g / 4팩,[세트] 국내산 대패삼겹살 300g,축산/계란,미분류,,300g|4팩,국내산,팩,,세트국내산대패삼겹살300g
,[단품] 한우 1++ 투쁠 / 설깃살 / 200g / 1팩,[단품] 한우 1++ 투쁠,축산/계란,미분류,,200g|1팩,,팩,,단품한우1투쁠
,[단품] 한우 1++ 투쁠 / 삼각살 / 200g / 1팩,[단품] 한우 1++ 투쁠,축산/계란,미분류,,200g|1팩,,팩,,단품한우1투쁠
,[세트] 삼각살 200g + 설깃살 200g + 보섭살 200g,[세트] 삼각살 200g + 설깃살 200g + 보섭살 200g,미분류,미분류,,200g|200g|200g,,,,세트삼각살200g설깃살200g보섭살200g
,[세트] 차돌 200g + 삼각살 200g + 보섭살 200g,[세트] 차돌 200g + 삼각살 200g + 보섭살 200g,미분류,미분류,,200g|200g|200g,,,,세트차돌200g삼각살200g보섭살200g
,[단품] 호주산 양갈비 / 500g / 1팩,[단품] 호주산 양갈비,미분류,미분류,,500g|1팩,,팩,,단품호주산양갈비
,[단품] 호주산 안창살 / 250g / 1팩,[단품] 호주산 안창살,미분류,미분류,,250g|1팩,,팩,,단품호주산안창살
,[세트] 호주산 안창살 / 250g / 3팩,[세트] 호주산 안창살,미분류,미분류,,250g|3팩,,팩,,세트호주산안창살
,[세트] 호주산 안창살 / 250g / 4팩,[세트] 호주산 안창살,미분류,미분류,,250g|4팩,,팩,,세트호주산안창살
,[세트] 호주산 안창살 / 250g / 5팩,[세트] 호주산 안창살,미분류,미분류,,250g|5팩,,팩,,세트호주산안창살
,[세트] 호주산 안창살 300g / 2팩,[세트] 호주산 안창살 300g,미분류,미분류,,300g|2팩,,팩,,세트호주산안창살300g
,[세트] 호주산 안창살 300g / 3팩,[세트] 호주산 안창살 300g,미분류,미분류,,300g|3팩,,팩,,세트호주산안창살300g
,[세트] 호주산 안창살 300g / 4팩,[세트] 호주산 안창살 300g,미분류,미분류,,300g|4팩,,팩,,세트호주산안창살300g
,[세트] 토시살 250g + 안창살 250g,[세트] 토시살 250g + 안창살 250g,미분류,미분류,,250g|250g,,,,세트토시살250g안창살250g
,[세트] 토시살 250g + 안창살 250g + 갈비살 200g,[세트] 토시살 250g + 안창살 250g + 갈비살 200g,미분류,미분류,,250g|250g|200g,,,,세트토시살250g안창살250g갈비살200g
,[단품] 제주흑돼지 불고기 / 400g / 1팩,[단품] 제주흑돼지 불고기,축산/계란,미분류,,400g|1팩,제주,팩,,단품제주흑돼지불고기
,[단품] 제주흑돼지 왕구이 / 1.2kg / 1팩,[단품] 제주흑돼지 왕구이,축산/계란,미분류,,1.2kg|1팩,제주,팩,,단품제주흑돼지왕구이
,[단품] 제주흑돼지 고추장불고기 / 1.2kg / 1팩,[단품] 제주흑돼지 고추장불고기,축산/계란,미분류,,1.2kg|1팩,제주,팩,,단품제주흑돼지고추장불고기
,[단품] 호주산 양념 안창살 / 400g / 1팩,[단품] 호주산 양념 안창살,미분류,미분류,,400g|1팩,,팩,,단품호주산양념안창살
,[세트] 호주산 양념 안창살 / 400g / 2팩,[세트] 호주산 양념 안창살,미분류,미분류,,400g|2팩,,팩,,세트호주산양념안창살
,[세트] 호주산 양념 안창살 / 400g / 3팩,[세트] 호주산 양념 안창살,미분류,미분류,,400g|3팩,,팩,,세트호주산양념안창살
,[세트] 호주산 양념 안창살 / 400g / 4팩,[세트] 호주산 양념 안창살,미분류,미분류,,400g|4팩,,팩,,세트호주산양념안창살
,[세트] (호)양념안창살 400g + (뉴)양념토시살 400g + (미)양념안심살 300g,[세트] (호)양념안창살 400g + (뉴)양념토시살 400g + (미)양념안심살 300g,미분류,미분류,,400g|400g|300g,,,,세트호양념안창살400g뉴양념토시살400g미양념안심살300g
,병아리콩 / 2kg,병아리콩,쌀/잡곡,미분류,,2kg,,,,병아리콩
,렌틸콩 / 2kg,렌틸콩,쌀/잡곡,미분류,,2kg,,,,렌틸콩
,완두콩 / 2kg,완두콩,쌀/잡곡,미분류,,2kg,,,,완두콩
,[단품] 한우 1++ 투쁠 / 불고기 / 200g / 1팩,[단품] 한우 1++ 투쁠,축산/계란,미분류,,200g|1팩,,팩,,단품한우1투쁠
,[단품] 한우 1++ 투쁠 / 국거리 / 200g / 1팩,[단품] 한우 1++ 투쁠,축산/계란,미분류,,200g|1팩,,팩,,단품한우1투쁠
,[단품] 한우 1++ 투쁠 / 보섭살 / 200g / 1팩,[단품] 한우 1++ 투쁠,축산/계란,미분류,,200g|1팩,,팩,,단품한우1투쁠
,[단품] 한우 1++ 투쁠 / 차돌 / 200g / 1팩,[단품] 한우 1++ 투쁠,축산/계란,미분류,,200g|1팩,,팩,,단품한우1투쁠
,[단품] 한우 1++ 투쁠 / 갈비살 / 200g / 1팩,[단품] 한우 1++ 투쁠,축산/계란,미분류,,200g|1팩,,팩,,단품한우1투쁠
,[단품] 한우 1++ 투쁠 / 등심 / 200g / 1팩,[단품] 한우 1++ 투쁠,축산/계란,미분류,,200g|1팩,,팩,,단품한우1투쁠
,설향딸기 / 500g / 24-30과,설향딸기,과일,과일류,,500g|30과,,,,설향딸기
,설향딸기 / 500g / 12-20과,설향딸기,과일,과일류,,500g|20과,,,,설향딸기
,설향딸기 / 1kg / 48-60과,설향딸기,과일,과일류,,1kg|60과,,,,설향딸기
,설향딸기 / 1kg / 24-40과,설향딸기,과일,과일류,,1kg|40과,,,,설향딸기
,홍희딸기 / 500g / 24-30과,홍희딸기,과일,과일류,,500g|30과,,,,홍희딸기
,홍희딸기 / 500g / 12-20과,홍희딸기,과일,과일류,,500g|20과,,,,홍희딸기
,홍희딸기 / 1kg / 48-60과,홍희딸기,과일,과일류,,1kg|60과,,,,홍희딸기
,홍희딸기 / 1kg / 24-40과,홍희딸기,과일,과일류,,1kg|40과,,,,홍희딸기
,세척사과 / 8kg / 한입 / 56과 내외,세척사과,과일,과일류,,8kg|56과,,,,세척사과
,세척사과 / 8kg/ 소과 / 48과 내외,세척사과,과일,과일류,,8kg|48과,,,,세척사과
,세척사과 / 8kg / 중소과 / 40과 내외,세척사과,과일,과일류,중,8kg|40과,,,,세척사과
,세척사과 / 10kg / 한입 / 70과 내외,세척사과,과일,과일류,,10kg|70과,,,,세척사과
,세척사과 / 10kg / 소과 / 60과 내외,세척사과,과일,과일류,,10kg|60과,,,,세척사과
,세척사과 / 10kg / 중소과 / 50과 내외,세척사과,과일,과일류,중,10kg|50과,,,,세척사과
,양파 / 1kg / 중소 혼합 / 100g 이하,양파,채소,채소류,중,1kg|100g,,,,양파
,양파 / 1kg / 상 / 100–150g,양파,채소,채소류,상,1kg|150g,,,,양파
,양파 / 1kg / 특 / 150–200g,양파,채소,채소류,특,1kg|200g,,,,양파
,양파 / 1kg / 왕특 / 200g 이상,양파,채소,채소류,특,1kg|200g,,,,양파
,양파 / 3kg / 중소 혼합 / 100g 이하,양파,채소,채소류,중,3kg|100g,,,,양파
,양파 / 3kg / 상 / 100–150g,양파,채소,채소류,상,3kg|150g,,,,양파
,양파 / 3kg / 특 / 150–200g,양파,채소,채소류,특,3kg|200g,,,,양파
,양파 / 3kg / 왕특 / 200g 이상,양파,채소,채소류,특,3kg|200g,,,,양파
,양파 / 4kg / 중소 혼합 / 100g 이하,양파,채소,채소류,중,4kg|100g,,,,양파
,양파 / 4kg / 상 / 100–150g,양파,채소,채소류,상,4kg|150g,,,,양파
,양파 / 4kg / 특 / 150–200g,양파,채소,채소류,특,4kg|200g,,,,양파
,양파 / 4kg / 왕특 / 200g 이상,양파,채소,채소류,특,4kg|200g,,,,양파
,양파 / 5kg / 중소 혼합 / 100g 이하,양파,채소,채소류,중,5kg|100g,,,,양파
,양파 / 5kg / 상 / 100–150g,양파,채소,채소류,상,5kg|150g,,,,양파
,양파 / 5kg / 특 / 150–200g,양파,채소,채소류,특,5kg|200g,,,,양파
,양파 / 5kg / 왕특 / 200g 이상,양파,채소,채소류,특,5kg|200g,,,,양파
,양파 / 10kg / 중소 혼합 / 100g 이하,양파,채소,채소류,중,10kg|100g,,,,양파
,양파 / 10kg / 상 / 100–150g,양파,채소,채소류,상,10kg|150g,,,,양파
,양파 / 10kg / 특 / 150–200g,양파,채소,채소류,특,10kg|200g,,,,양파
,양파 / 10kg / 왕특 / 200g 이상,양파,채소,채소류,특,10kg|200g,,,,양파
,[단품] 부채살 / 200g / 1팩,[단품] 부채살,미분류,미분류,,200g|1팩,,팩,,단품부채살
,[단품] 척아이롤 등심 / 200g / 1팩,[단품] 척아이롤 등심,미분류,미분류,,200g|1팩,,팩,,단품척아이롤등심
,[단품] 미국산 안심살구이 / 200g / 1팩,[단품] 미국산 안심살구이,미분류,미분류,,200g|1팩,미국산,팩,,단품미국산안심살구이
,[단품] 뉴질랜드 토시살 / 250g / 1팩,[단품] 뉴질랜드 토시살,미분류,미분류,,250g|1팩,,팩,,단품뉴질랜드토시살
,[단품] 호주산 안창살 / 300g / 1팩,[단품] 호주산 안창살,미분류,미분류,,300g|1팩,,팩,,단품호주산안창살
,[단품] 뉴질랜드 토시살 / 300g / 1팩,[단품] 뉴질랜드 토시살,미분류,미분류,,300g|1팩,,팩,,단품뉴질랜드토시살
,[단품] 미국산 우대갈비 / 400g / 1팩,[단품] 미국산 우대갈비,미분류,미분류,,400g|1팩,미국산,팩,,단품미국산우대갈비
,[세트] 미국산 소갈비살 / 200g / 3팩,[세트] 미국산 소갈비살,미분류,미분류,,200g|3팩,미국산,팩,,세트미국산소갈비살
,[세트] 미국산 소갈비살 / 200g / 4팩,[세트] 미국산 소갈비살,미분류,미분류,,200g|4팩,미국산,팩,,세트미국산소갈비살
,[세트] 미국산 소갈비살 / 200g / 5팩,[세트] 미국산 소갈비살,미분류,미분류,,200g|5팩,미국산,팩,,세트미국산소갈비살
,[세트] 뉴질랜드 토시살 250g / 3팩,[세트] 뉴질랜드 토시살 250g,미분류,미분류,,250g|3팩,,팩,,세트뉴질랜드토시살250g
