관리코드,상품명,기준상품명,마켓카테고리,식품안전유형힌트,등급,규격,산지,포장,보관,norm_key
,특가 시나노골드 / 가정용 / 5kg(박스포함) / 26-30과,특가 시나노골드,미분류,미분류,특,5kg|30과,,박스,,특가시나노골드
,특가 시나노골드 / 가정용 / 5kg(박스포함) / 21-25과,특가 시나노골드,미분류,미분류,특,5kg|25과,,박스,,특가시나노골드
,꿀호박 랜덤발송 못난이 고구마 / 5kg / 혼합,꿀호박 랜덤발송 못난이 고구마,채소,채소류,못난이,5kg,,,,꿀호박랜덤발송못난이고구마
,꿀호박 랜덤발송 못난이 고구마 / 10kg / 혼합,꿀호박 랜덤발송 못난이 고구마,채소,채소류,못난이,10kg,,,,꿀호박랜덤발송못난이고구마
,가정용 배 / 3kg / 대과 / 3-4과,가정용 배,과일,과일류,가정용,3kg|4과,,,,가정용배
,가정용 배 / 5kg / 중소과 / 11-15과,가정용 배,과일,과일류,가정용,5kg|15과,,,,가정용배
,가정용 배 / 5kg / 중대과 / 9-10과,가정용 배,과일,과일류,가정용,5kg|10과,,,,가정용배
,가정용 배 / 5kg / 대과 / 7-8과,가정용 배,과일,과일류,가정용,5kg|8과,,,,가정용배
,가정용 배 / 5kg / 특대과 / 5-6과,가정용 배,과일,과일류,가정용,5kg|6과,,,,가정용배
,가정용 배 / 15kg / 중소과 / 31-40과,가정용 배,과일,과일류,가정용,15kg|40과,,,,가정용배
,가정용 배 / 15kg / 중대과 / 26-30과,가정용 배,과일,과일류,가정용,15kg|30과,,,,가정용배
,가정용 배 / 15kg / 대과 / 20-25과,가정용 배,과일,과일류,가정용,15kg|25과,,,,가정용배
,가정용 배 / 15kg / 특대과 / 10-19과,가정용 배,과일,과일류,가정용,15kg|19과,,,,가정용배
,개별망 정품 부사 / 3kg / 소과 / 17-18과,개별망 정품 부사,미분류,미분류,,3kg|18과,,망,,개별망정품부사
,개별망 정품 부사 / 3kg / 중소과 / 15-16과,개별망 정품 부사,미분류,미분류,중,3kg|16과,,망,,개별망정품부사
,개별망 정품 부사 / 3kg / 중과 / 13-14과,개별망 정품 부사,미분류,미분류,중,3kg|14과,,망,,개별망정품부사
,개별망 정품 부사 / 3kg / 중대과 / 11-12과,개별망 정품 부사,미분류,미분류,중,3kg|12과,,망,,개별망정품부사
,개별망 정품 부사 / 3kg / 대과 / 9-10과,개별망 정품 부사,미분류,미분류,,3kg|10과,,망,,개별망정품부사
,개별망 정품 부사 / 5kg / 소과 / 27-30과,개별망 정품 부사,미분류,미분류,,5kg|30과,,망,,개별망정품부사
,개별망 정품 부사 / 5kg / 중소과 / 24-26과,개별망 정품 부사,미분류,미분류,중,5kg|26과,,망,,개별망정품부사
,개별망 정품 부사 / 5kg / 중과 / 20-23과,개별망 정품 부사,미분류,미분류,중,5kg|23과,,망,,개별망정품부사
,개별망 정품 부사 / 5kg / 중대과 / 17-19과,개별망 정품 부사,미분류,미분류,중,5kg|19과,,망,,개별망정품부사
,개별망 정품 부사 / 5kg / 대과 / 14-16과,개별망 정품 부사,미분류,미분류,,5kg|16과,,망,,개별망정품부사
,A급 가정용 부사 / 1.5kg / 중과 / 7-9과,A급 가정용 부사,미분류,미분류,A,1.5kg|9과,,,,a급가정용부사
,A급 가정용 부사 / 2kg / 소과 / 12-14과,A급 가정용 부사,미분류,미분류,A,2kg|14과,,,,a급가정용부사
,A급 가정용 부사 / 2kg / 중과 / 10-11과,A급 가정용 부사,미분류,미분류,A,2kg|11과,,,,a급가정용부사
,A급 가정용 부사 / 2kg / 중대과 / 8-9과,A급 가정용 부사,미분류,미분류,A,2kg|9과,,,,a급가정용부사
,A급 가정용 부사 / 3kg / 소과 / 18-21과,A급 가정용 부사,미분류,미분류,A,3kg|21과,,,,a급가정용부사
,A급 가정용 부사 / 3kg / 중과 / 15-17과,A급 가정용 부사,미분류,미분류,A,3kg|17과,,,,a급가정용부사
,A급 가정용 부사 / 3kg / 중대과 / 12-14과,A급 가정용 부사,미분류,미분류,A,3kg|14과,,,,a급가정용부사
,A급 가정용 부사 / 4kg / 소과 / 24-28과,A급 가정용 부사,미분류,미분류,A,4kg|28과,,,,a급가정용부사
,A급 가정용 부사 / 4kg / 중과 / 20-23과,A급 가정용 부사,미분류,미분류,A,4kg|23과,,,,a급가정용부사
,A급 가정용 부사 / 4kg / 중대과 / 16-19과,A급 가정용 부사,미분류,미분류,A,4kg|19과,,,,a급가정용부사
,A급 가정용 부사 / 4kg / 대과 / 12-15과,A급 가정용 부사,미분류,미분류,A,4kg|15과,,,,a급가정용부사
,A급 가정용 부사 / 5kg / 소과 / 30-35과,A급 가정용 부사,미분류,미분류,A,5kg|35과,,,,a급가정용부사
,A급 가정용 부사 / 5kg / 중과 / 25-29과,A급 가정용 부사,미분류,미분류,A,5kg|29과,,,,a급가정용부사
,A급 가정용 부사 / 5kg / 중대과 / 20-24과,A급 가정용 부사,미분류,미분류,A,5kg|24과,,,,a급가정용부사
,A급 가정용 부사 / 5kg / 대과 / 15-19과,A급 가정용 부사,미분류,미분류,A,5kg|19과,,,,a급가정용부사
,A급 가정용 부사 / 10kg / 소과 / 70-79과,A급 가정용 부사,미분류,미분류,A,10kg|79과,,,,a급가정용부사
,A급 가정용 부사 / 10kg / 중소과 / 60-69과,A급 가정용 부사,미분류,미분류,A,10kg|69과,,,,a급가정용부사
,A급 가정용 부사 / 10kg / 중과 / 50-59과,A급 가정용 부사,미분류,미분류,A,10kg|59과,,,,a급가정용부사
,A급 가정용 부사 / 10kg / 중대과 / 40-49과,A급 가정용 부사,미분류,미분류,A,10kg|49과,,,,a급가정용부사
,A급 가정용 부사 / 10kg / 대과 / 30-39과,A급 가정용 부사,미분류,미분류,A,10kg|39과,,,,a급가정용부사
,미색 가정용 부사 / 2kg / 소과 / 12-15과,미색 가정용 부사,미분류,미분류,가정용,2kg|15과,,,,미색가정용부사
,미색 가정용 부사 / 2kg / 중과 / 10-11과,미색 가정용 부사,미분류,미분류,가정용,2kg|11과,,,,미색가정용부사
,미색 가정용 부사 / 2kg / 중대과 / 8-9과,미색 가정용 부사,미분류,미분류,가정용,2kg|9과,,,,미색가정용부사
